year,site,species,length,weight 
2019,D7062,Actinopyga echinites,175,NA
2019,1387,Actinopyga echinites,190,NA
2019,A1919,Actinopyga echinites,115,NA
2019,A1915,Actinopyga echinites,200,NA
2019,SRF4109,Actinopyga echinites,200,1020
2019,A1915,Actinopyga echinites,225,570
2019,U15,Actinopyga echinites,225,900
2019,SRAND03,Actinopyga echinites,225,NA
2019,2406,Actinopyga echinites,230,700
2019,S2420,Actinopyga echinites,230,780
2019,S2419,Actinopyga echinites,265,900
2019,U18,Actinopyga echinites,275,1160
2019,213,Actinopyga lecanora,180,380
2019,213,Actinopyga lecanora,185,680
2019,D0008,Actinopyga mauritiana,195,NA
2019,SRF3753,Actinopyga mauritiana,180,NA
2019,SRF4925,Actinopyga mauritiana,195,1150
2019,SRF5063,Actinopyga mauritiana,205,1160
2019,SRF4925,Actinopyga mauritiana,205,1060
2019,SRF4719,Actinopyga mauritiana,210,960
2019,SRF3615,Actinopyga mauritiana,210,NA
2019,SRF3615,Actinopyga mauritiana,215,NA
2019,SRF4925,Actinopyga mauritiana,218,970
2019,SRF4453,Actinopyga mauritiana,220,1170
2019,SRAND13,Actinopyga mauritiana,225,NA
2019,SRF5131,Actinopyga mauritiana,230,990
2019,SRF4925,Actinopyga mauritiana,230,1410
2019,SRF4872,Actinopyga mauritiana,250,NA
2019,SRF4925,Actinopyga mauritiana,260,1280
2019,SRF4872,Actinopyga mauritiana,260,NA
2019,U26,Actinopyga miliaris,255,1720
2019,U18,Actinopyga miliaris,210,1560
2019,U26,Actinopyga miliaris,235,1250
2019,U26,Actinopyga miliaris,240,1220
2019,U26,Actinopyga miliaris,245,1250
2019,2013,Actinopyga palauensis,360,1440
2019,91,Actinopyga palauensis,200,860
2019,91,Actinopyga palauensis,210,960
2019,SRF4719,Actinopyga palauensis,225,1350
2019,143,Actinopyga palauensis,230,NA
2019,91,Actinopyga palauensis,230,1020
2019,91,Actinopyga palauensis,235,870
2019,D0004,Actinopyga palauensis,235,NA
2019,SR509,Actinopyga palauensis,235,NA
2019,WPT100_SRRAND01,Actinopyga palauensis,240,1280
2019,2287,Actinopyga palauensis,250,1420
2019,SRF4719,Actinopyga palauensis,250,1130
2019,91,Actinopyga palauensis,255,1340
2019,91,Actinopyga palauensis,260,1540
2019,91,Actinopyga palauensis,260,1380
2019,91,Actinopyga palauensis,270,1290
2019,SRF4441,Actinopyga palauensis,275,NA
2019,552,Actinopyga palauensis,280,2120
2019,91,Actinopyga palauensis,280,2180
2019,91,Actinopyga palauensis,280,1210
2019,SRF5551,Actinopyga palauensis,280,1390
2019,550,Actinopyga palauensis,285,2240
2019,93,Actinopyga palauensis,295,1560
2019,550,Actinopyga palauensis,320,1600
2019,SR5411,Actinopyga palauensis,320,2020
2019,S0065,Bohadschia argus,275,NA
2019,A2583,Bohadschia argus,120,NA
2019,S0215,Bohadschia argus,123,NA
2019,220,Bohadschia argus,145,NA
2019,550,Bohadschia argus,170,450
2019,550,Bohadschia argus,180,580
2019,265,Bohadschia argus,180,380
2019,SRF4719,Bohadschia argus,180,NA
2019,220,Bohadschia argus,190,NA
2019,SR509,Bohadschia argus,190,NA
2019,265,Bohadschia argus,195,630
2019,550,Bohadschia argus,200,540
2019,SRF4799,Bohadschia argus,200,NA
2019,19,Bohadschia argus,210,1050
2019,SRAND03,Bohadschia argus,210,NA
2019,SRF4799,Bohadschia argus,210,NA
2019,SRF4799,Bohadschia argus,210,NA
2019,S0017,Bohadschia argus,215,NA
